ID_Equipo,Fecha_Servicio,Ciudad,Sector_Industrial,Magnitud,Tipo_Instrumento,Temp_Ambiente_C,Humedad_Relativa_perc,Presion_Barometrica_hPa,Incertidumbre,Error_Encontrado,Dias_Desde_Ultima_Calibracion,Estado_Final
EQ-9032-0019,2026-03-18,Manta,Manufactura,Temperatura,Termocupla,19.1,76.3,1013.1,0.06,0.18,329.0,Cumple
EQ-6148-0020,2025-12-02,Cuenca,Alimentos,Presión,Transmisor de presión,13.8,62.5,751.8,0.16,0.37,351.0,Cumple
EQ-4444-0021,2025-07-20,Cuenca,Alimentos,Temperatura,Termómetro digital,15.9,58.0,750.9,0.05,0.21,371.0,Cumple
EQ-7508-0022,2026-05-15,Quito,Petrolero,Temperatura,Termómetro digital,16.8,51.0,733.4,0.03,0.17,355.0,Cumple
EQ-5120-0023,2025-10-09,Guayaquil,Manufactura,Temperatura,Estufa de incubación,27.8,75.8,1012.9,0.06,0.16,325.0,Cumple
EQ-6696-0024,2025-12-01,Cuenca,Manufactura,Masa,Balanza analítica,15.1,58.9,750.3,0.021,0.030,431.0,Cumple
EQ-6843-0025,2025-09-25,Quito,Alimentos,Temperatura,Estufa de incubación,17.0,55.4,735.5,0.06,0.39,485.0,No Cumple
EQ-7166-0026,2026-02-06,Guayaquil,Manufactura,Masa,Balanza analítica,27.9,77.3,1012.4,0.032,0.076,376.0,No Cumple
EQ-9414-0027,2026-06-09,Cuenca,Manufactura,Presión,Manómetro analógico,14.8,61.9,749.7,0.13,0.50,476.0,No Cumple
EQ-2250-0028,2026-04-24,Quito,Alimentos,Presión,Vacuómetro,17.6,60.6,730.8,0.13,0.50,352.0,No Cumple
EQ-6577-0029,2025-09-03,Guayaquil,Alimentos,Volumen,Bureta digital,29.3,82.8,1010.5,0.006,0.036,326.0,No Cumple
EQ-2469-0030,2026-02-13,Quito,Petrolero,Presión,Vacuómetro,20.1,56.2,736.6,0.13,1.33,1039.0,No Cumple
EQ-9815-0031,2026-01-09,Quito,Alimentos,Presión,Transmisor de presión,19.1,51.9,731.7,0.09,0.41,412.0,No Cumple
EQ-5786-0032,2026.05.22,Cuenca,Manufactura,Volumen,Bureta digital,14.6,60.8,751.0,0.005,0.022,418.0,Cumple
EQ-5712-0033,2026-03-12,Quito,Farmacéutico,Temperatura,Termocupla,17.6,63.5,732.7,0.06,0.21,363.0,Cumple
EQ-8494-0034,2026-06-14,Cuenca,Farmacéutico,Temperatura,Termocupla,13.5,61.4,749.9,0.06,0.20,499.0,Cumple
EQ-3308-0035,2025-07-31,Quito,Alimentos,Temperatura,Estufa de incubación,16.4,48.2,737.0,0.06,0.30,416.0,Cumple
EQ-6062-0036,2026-05-10,Cuenca,Alimentos,Masa,Balanza de precisión,15.8,58.7,756.8,0.023,0.018,348.0,Cumple
EQ-1405-0037,2025-12-05,Manta,Alimentos,Temperatura,Estufa de incubación,22.9,78.6,1010.5,0.05,0.15,332.0,Cumple
EQ-7043-0038,2025-07-19,Quito,Farmacéutico,Masa,Balanza analítica,15.2,49.2,738.1,0.023,0.014,306.0,Cumple
EQ-6956-0039,2026-05-02,Guayaquil,Farmacéutico,Temperatura,Termocupla,25.3,76.1,1011.2,0.05,0.19,318.0,Cumple
EQ-8554-0040,2026-03-21,Cuenca,Manufactura,Masa,Balanza industrial,15.5,65.3,750.9,0.024,0.019,299.0,Cumple
EQ-7917-0041,2025-12-20,Guayaquil,Petrolero,Volumen,Matraz aforado,29.1,83.6,1011.2,0.007,0.019,390.0,Cumple
EQ-2485-0042,2026-04-14,Guayaquil,Farmacéutico,Volumen,Pipeta de pistón,27.2,81.8,1013.6,0.008,0.007,351.0,Cumple
EQ-7533-0043,2025-11-30,Cuenca,Alimentos,Masa,Balanza analítica,15.2,67.4,749.6,0.033,0.030,378.0,Cumple
EQ-9166-0044,2026-01-28,Quito,Petrolero,Temperatura,Estufa de incubación,16.3,57.2,734.8,0.04,0.30,316.0,Cumple
EQ-2907-0045,2025-10-24,Cuenca,Manufactura,Temperatura,Estufa de incubación,13.9,65.3,750.3,0.04,0.22,430.0,Cumple
EQ-7970-0046,2026-06-19,Quito,Manufactura,Temperatura,Estufa de incubación,18.1,61.5,731.7,0.06,0.22,367.0,Cumple
EQ-9296-0047,2026-05-19,Guayaquil,Manufactura,Masa,Balanza analítica,27.8,76.6,1012.8,0.021,0.036,350.0,Cumple
EQ-9045-0048,31/03/2026,Manta,Petrolero,Presión,Manómetro analógico,26.3,71.4,1010.0,0.12,0.12,323.0,Cumple
EQ-7523-0049,2026-03-19,Guayaquil,Manufactura,Masa,Balanza industrial,26.8,77.3,1011.2,0.022,0.032,316.0,Cumple
EQ-9595-0050,2025-11-24,Quito,Farmacéutico,Volumen,Pipeta de pistón,17.2,54.9,736.8,0.009,0.007,344.0,Cumple
EQ-5237-0051,2026-06-06,Guayaquil,Alimentos,Volumen,Matraz aforado,28.0,75.8,1011.2,0.010,0.011,358.0,Cumple
EQ-7880-0052,2026-05-11,Quito,Petrolero,Temperatura,Estufa de incubación,17.1,56.8,735.9,0.06,0.11,482.0,Cumple
EQ-8851-0053,2026-03-17,Manta,Alimentos,Presión,Vacuómetro,27.8,81.3,1008.8,0.12,0.14,379.0,Cumple
EQ-9404-0054,2025-12-27,Quito,Alimentos,Presión,Transmisor de presión,16.7,54.5,732.4,0.14,2.16,376.0,No Cumple
EQ-9486-0055,2025-12-27,Cuenca,Manufactura,Volumen,Bureta digital,13.2,50.6,749.5,0.010,0.012,371.0,Cumple
EQ-1415-0056,2026-01-16,Manta,Petrolero,Masa,Balanza de precisión,24.3,75.3,1011.1,0.031,0.042,363.0,No Cumple
EQ-4678-0057,2026-03-27,Guayaquil,Alimentos,Volumen,Pipeta de pistón,28.1,82.7,1010.7,0.008,0.014,340.0,No Cumple
EQ-3113-0058,2025.10.21,Cuenca,Alimentos,Masa,Balanza industrial,14.4,66.1,748.0,0.029,0.053,1006.0,No Cumple
EQ-1800-0059,2025-07-07,Guayaquil,Alimentos,Temperatura,Termocupla,30.0,86.4,1011.4,0.06,0.17,522.0,Cumple
EQ-9572-0060,2026-02-01,Cuenca,Manufactura,Presión,Transmisor de presión,15.2,62.0,747.0,0.11,0.40,347.0,Cumple
EQ-2680-0061,2026-03-27,Quito,Alimentos,Masa,Balanza analítica,19.6,44.6,735.0,0.032,0.025,407.0,Cumple
EQ-8035-0062,2026-02-05,Quito,Alimentos,Presión,Manómetro analógico,16.0,65.2,735.4,0.11,0.50,444.0,No Cumple
EQ-8701-0063,2026-01-15,Quito,Farmacéutico,Masa,Balanza analítica,14.4,57.8,736.0,0.029,0.017,318.0,Cumple
EQ-3333-0064,2026-05-15,Guayaquil,Manufactura,Masa,Balanza analítica,29.1,71.2,1014.0,0.031,0.016,318.0,Cumple
EQ-8898-0065,2026-01-03,Guayaquil,Manufactura,Masa,Balanza de precisión,28.7,75.5,1010.2,0.021,0.015,377.0,Cumple
EQ-4750-0066,2025-11-02,Quito,Alimentos,Masa,Balanza analítica,15.6,60.5,737.5,0.029,0.023,351.0,Cumple
EQ-2999-0067,2026-04-13,Manta,Petrolero,Temperatura,Estufa de incubación,24.2,78.1,1013.9,0.04,0.21,380.0,Cumple
EQ-8484-0068,2026-04-26,Quito,Alimentos,Temperatura,Termocupla,16.1,61.0,733.8,0.04,0.19,361.0,Cumple
EQ-8690-0069,2026-01-10,Quito,Farmacéutico,Presión,Vacuómetro,16.0,54.4,735.9,0.10,0.62,763.0,No Cumple
EQ-9939-0070,2025-12-30,Cuenca,Manufactura,Masa,Balanza analítica,12.5,55.3,744.2,0.024,0.020,356.0,Cumple
EQ-5112-0071,2025-07-15,Quito,Alimentos,Masa,Balanza de precisión,17.5,61.3,739.4,0.018,0.111,1951.0,No Cumple
EQ-7587-0072,2025-08-24,Guayaquil,Alimentos,Temperatura,Termocupla,22.6,78.2,1009.6,0.04,0.13,320.0,Cumple
EQ-6040-0073,2025-10-29,Cuenca,Farmacéutico,Volumen,Matraz aforado,13.4,57.4,746.7,0.008,0.013,328.0,Cumple
EQ-9980-0074,2025-10-19,Manta,Alimentos,Volumen,Matraz aforado,28.7,67.3,1009.7,0.009,0.017,319.0,Cumple
EQ-9223-0075,2025-09-28,Cuenca,Manufactura,Masa,Balanza analítica,14.8,60.2,750.0,0.030,0.026,383.0,No Cumple
EQ-8846-0076,2026-03-09,Guayaquil,Manufactura,Masa,Balanza analítica,24.1,78.9,1012.5,0.029,0.075,343.0,No Cumple
EQ-7585-0077,2026-05-13,Quito,Alimentos,Volumen,Bureta digital,,,,0.007,0.010,,Cumple
EQ-8095-0078,2026-01-18,Manta,Petrolero,Temperatura,Estufa de incubación,22.4,79.8,1013.0,0.07,0.13,358.0,Cumple
EQ-4318-0079,2026-02-28,Quito,Alimentos,Volumen,Matraz aforado,17.0,57.3,737.9,0.008,0.016,717.0,Cumple
EQ-5823-0080,2025-09-19,Guayaquil,Alimentos,Temperatura,Estufa de incubación,28.2,73.8,1014.2,0.06,0.14,351.0,Cumple
EQ-5407-0081,2026-02-08,Quito,Manufactura,Presión,Transmisor de presión,16.8,60.8,736.2,0.10,0.53,360.0,No Cumple
EQ-1151-0082,2026-03-20,Guayaquil,Alimentos,Presión,Manómetro analógico,24.5,73.6,1012.8,0.13,0.17,362.0,Cumple
EQ-1542-0083,2025-10-06,Quito,Petrolero,Volumen,Pipeta de pistón,18.1,47.5,734.0,0.008,0.018,361.0,Cumple
EQ-3455-0084,2026-01-08,Guayaquil,Petrolero,Masa,Balanza industrial,28.6,76.5,1015.6,0.021,0.036,404.0,Cumple
EQ-8507-0085,2025-07-16,Quito,Alimentos,Presión,Transmisor de presión,17.5,61.1,732.9,0.13,0.69,581.0,No Cumple
EQ-9567-0086,2026-04-06,Guayaquil,Manufactura,Volumen,Matraz aforado,30.1,81.1,1012.8,0.006,0.008,363.0,Cumple
EQ-9020-0087,2025-08-13,Quito,Manufactura,Volumen,Pipeta de pistón,17.7,56.6,739.3,0.009,0.014,373.0,Cumple
EQ-6897-0088,2025-08-21,Quito,Petrolero,Temperatura,Termocupla,16.4,54.0,734.6,0.05,0.22,326.0,Cumple
EQ-4274-0089,29/08/2025,Guayaquil,Petrolero,Temperatura,Termómetro digital,27.1,78.5,1008.4,0.06,0.24,380.0,Cumple
EQ-5261-0090,2025-10-20,Guayaquil,Farmacéutico,Volumen,Matraz aforado,28.8,74.4,1011.1,0.007,0.016,403.0,Cumple
EQ-8955-0091,2026-01-20,Guayaquil,Alimentos,Presión,Vacuómetro,25.9,81.3,1007.9,0.09,0.13,358.0,Cumple
EQ-8645-0092,2025-09-02,Guayaquil,Farmacéutico,Volumen,Matraz aforado,23.8,87.8,1014.7,0.009,0.013,353.0,Cumple
EQ-9376-0093,2026-02-20,Quito,Petrolero,Temperatura,Estufa de incubación,19.2,53.9,738.8,0.05,0.22,399.0,Cumple
EQ-9145-0094,2026.05.04,Cuenca,Manufactura,Volumen,Matraz aforado,14.8,58.2,745.5,0.009,0.014,379.0,Cumple
EQ-8114-0095,2025-12-25,Quito,Manufactura,Presión,Transmisor de presión,16.4,53.8,728.4,0.13,0.42,374.0,No Cumple
EQ-1550-0096,2026-05-22,Quito,Alimentos,Temperatura,Estufa de incubación,15.1,53.7,731.6,0.06,0.50,369.0,No Cumple
EQ-5752-0097,2026-03-22,Cuenca,Manufactura,Temperatura,Termocupla,15.9,58.7,750.8,0.06,0.55,530.0,No Cumple
EQ-6188-0098,2026-05-17,Manta,Petrolero,Masa,Balanza de precisión,27.2,75.8,1009.1,0.026,0.059,382.0,Cumple
EQ-8498-0099,2025-08-20,Guayaquil,Manufactura,Temperatura,Estufa de incubación,27.9,75.8,1008.8,0.06,0.14,359.0,Cumple
EQ-2611-0100,2026.01.30,Guayaquil,Manufactura,Volumen,Pipeta de pistón,26.1,80.0,1012.9,0.007,0.015,561.0,Cumple
EQ-8183-0101,2025-10-29,Quito,Farmacéutico,Presión,Vacuómetro,14.1,55.3,738.1,0.11,0.62,625.0,No Cumple
EQ-9440-0102,2025-12-12,Quito,Petrolero,Masa,Balanza industrial,,,,0.019,0.016,,Cumple
EQ-5240-0103,2025-12-07,Quito,Alimentos,Volumen,Matraz aforado,16.8,60.8,735.5,0.007,0.017,345.0,Cumple
EQ-8420-0104,2025-07-02,Guayaquil,Manufactura,Presión,Manómetro analógico,24.0,73.9,1012.5,0.12,0.53,1071.0,No Cumple
EQ-3999-0105,2025-08-19,Cuenca,Farmacéutico,Presión,Transmisor de presión,12.6,60.2,750.3,0.10,0.76,739.0,No Cumple
EQ-7975-0106,2025-08-03,Guayaquil,Manufactura,Masa,Balanza analítica,27.6,76.5,1012.2,0.029,0.054,416.0,No Cumple
EQ-8850-0107,2025-12-22,Guayaquil,Farmacéutico,Presión,Manómetro analógico,25.1,75.0,1014.0,0.12,0.15,329.0,Cumple
EQ-2053-0108,2026-06-03,Quito,Manufactura,Presión,Transmisor de presión,15.7,56.9,738.5,0.13,0.47,680.0,No Cumple
EQ-5365-0109,2025-09-16,Cuenca,Alimentos,Presión,Transmisor de presión,17.0,66.8,748.5,0.10,0.86,705.0,No Cumple
EQ-9166-0110,2026-02-21,Quito,Farmacéutico,Volumen,Matraz aforado,14.3,53.7,733.7,0.008,0.016,344.0,Cumple
EQ-7064-0111,2026-05-18,Guayaquil,Alimentos,Temperatura,Termocupla,26.4,77.0,1011.8,0.05,0.37,351.0,Cumple
EQ-2583-0112,2026-01-28,Quito,Petrolero,Presión,Vacuómetro,13.8,56.8,740.8,0.12,0.43,361.0,No Cumple
EQ-4188-0113,2025-08-20,Manta,Petrolero,Masa,Balanza de precisión,28.3,76.9,1012.8,0.028,0.074,535.0,No Cumple
EQ-7738-0114,2026-05-26,Quito,Manufactura,Masa,Balanza analítica,15.4,52.8,741.8,0.028,0.034,377.0,Cumple
EQ-3397-0115,2025-08-24,Quito,Farmacéutico,Volumen,Matraz aforado,17.0,61.7,735.4,0.008,0.017,364.0,Cumple
EQ-8362-0116,2025-10-06,Quito,Petrolero,Masa,Balanza analítica,17.4,59.2,737.1,0.028,0.026,374.0,Cumple
EQ-1229-0117,2026-04-10,Quito,Alimentos,Volumen,Pipeta de pistón,15.0,54.0,741.7,0.008,0.012,370.0,Cumple
EQ-2510-0118,2026-03-06,Guayaquil,Manufactura,Temperatura,Estufa de incubación,26.5,83.1,1011.8,0.05,0.23,410.0,Cumple
EQ-1003-0119,2025-12-22,Guayaquil,Alimentos,Masa,Balanza industrial,24.1,74.8,1009.0,0.025,0.035,803.0,Cumple
EQ-8392-0120,2026-05-01,Cuenca,Manufactura,Temperatura,Estufa de incubación,12.8,58.6,748.2,0.07,0.31,343.0,Cumple
EQ-9955-0121,2025-10-01,Cuenca,Alimentos,Temperatura,Termómetro digital,13.3,56.5,748.6,0.03,0.18,387.0,Cumple
EQ-2360-0122,2025-09-02,Quito,Manufactura,Temperatura,Termocupla,17.3,57.7,735.4,0.05,0.24,350.0,Cumple
EQ-4257-0123,2025-08-14,Quito,Alimentos,Masa,Balanza de precisión,18.1,55.4,735.8,0.033,0.021,355.0,Cumple
EQ-5060-0124,2025-12-25,Guayaquil,Manufactura,Presión,Manómetro analógico,24.5,75.3,1011.9,0.13,0.07,409.0,Cumple
EQ-2979-0125,2025-10-30,Cuenca,Alimentos,Volumen,Pipeta de pistón,14.5,68.1,751.5,0.007,0.022,419.0,Cumple
EQ-1731-0126,2025-09-15,Guayaquil,Manufactura,Presión,Manómetro analógico,27.9,77.5,1012.8,0.14,0.16,407.0,Cumple
EQ-9953-0127,2026-02-13,Cuenca,Manufactura,Presión,Transmisor de presión,16.9,57.0,753.2,0.13,0.26,306.0,Cumple
EQ-5399-0128,2026-02-24,Guayaquil,Alimentos,Masa,Balanza de precisión,23.6,80.4,1014.1,0.022,0.068,365.0,No Cumple
EQ-6853-0129,2025-08-20,Cuenca,Alimentos,Masa,Balanza industrial,16.2,64.4,746.4,0.029,0.007,321.0,Cumple
EQ-3535-0130,2026-04-08,Cuenca,Alimentos,Temperatura,Termómetro digital,14.6,67.4,752.7,0.05,0.19,327.0,Cumple
EQ-1084-0131,2026-02-02,Quito,Petrolero,Volumen,Matraz aforado,15.6,51.4,736.5,0.007,0.025,338.0,Cumple
EQ-6135-0132,2025-09-06,Cuenca,Manufactura,Temperatura,Estufa de incubación,14.9,59.3,748.2,0.05,0.54,897.0,No Cumple
EQ-9060-0133,2025-08-16,Quito,Petrolero,Volumen,Bureta digital,17.0,59.3,735.1,0.007,0.010,357.0,Cumple
EQ-3209-0134,2025-07-11,Quito,Alimentos,Temperatura,Termocupla,17.6,55.2,743.1,0.05,0.13,357.0,Cumple
EQ-9942-0135,2026-06-17,Cuenca,Alimentos,Volumen,Pipeta de pistón,15.8,66.4,745.9,0.007,0.014,442.0,Cumple
EQ-4652-0136,2026-02-23,Quito,Petrolero,Temperatura,Termocupla,15.6,54.2,732.6,0.04,0.17,361.0,Cumple
EQ-8749-0137,2026-02-02,Guayaquil,Farmacéutico,Volumen,Bureta digital,,,,0.008,0.018,,Cumple
EQ-3149-0138,2025-08-02,Cuenca,Alimentos,Volumen,Matraz aforado,15.6,62.5,752.6,0.007,0.018,533.0,Cumple
EQ-9269-0139,2026-02-12,Cuenca,Farmacéutico,Temperatura,Termómetro digital,14.8,65.3,750.3,0.06,0.17,340.0,Cumple
EQ-5762-0140,2026-03-12,Quito,Manufactura,Temperatura,Estufa de incubación,17.5,50.1,735.2,0.05,0.14,318.0,Cumple
EQ-2383-0141,2025-08-01,Guayaquil,Alimentos,Temperatura,Estufa de incubación,27.3,75.1,1009.9,0.05,0.22,687.0,Cumple
EQ-7844-0142,2026-02-15,Guayaquil,Petrolero,Masa,Balanza analítica,23.3,79.7,1012.5,0.026,0.071,317.0,No Cumple
EQ-3623-0143,2026-03-01,Quito,Farmacéutico,Temperatura,Termómetro digital,17.9,57.9,740.9,0.05,0.70,1143.0,No Cumple
EQ-3217-0144,2025-12-27,Guayaquil,Farmacéutico,Presión,Transmisor de presión,27.2,81.5,1012.7,0.09,0.18,341.0,Cumple
EQ-6013-0145,2025-08-20,Manta,Alimentos,Presión,Transmisor de presión,25.3,72.0,1012.7,0.12,0.12,376.0,Cumple
EQ-9318-0146,2025-07-25,Guayaquil,Farmacéutico,Presión,Transmisor de presión,26.7,73.9,1012.4,0.11,0.21,633.0,Cumple
EQ-7750-0147,2026-01-25,Quito,Manufactura,Presión,Manómetro analógico,14.9,56.0,738.3,0.12,0.46,499.0,No Cumple
EQ-7396-0148,2025-10-01,Cuenca,Manufactura,Temperatura,Termómetro digital,15.9,54.0,746.3,0.04,0.18,408.0,Cumple
EQ-3433-0149,2026-02-05,Cuenca,Alimentos,Presión,Transmisor de presión,12.1,58.4,749.9,0.13,0.61,368.0,No Cumple
EQ-9520-0150,2026-05-24,Guayaquil,Farmacéutico,Masa,Balanza industrial,22.8,75.4,1008.5,0.020,0.049,354.0,No Cumple
EQ-4222-0151,2025-08-05,Cuenca,Alimentos,Volumen,Matraz aforado,14.2,65.2,750.3,0.007,0.015,348.0,Cumple
EQ-7160-0152,2025-11-08,Manta,Petrolero,Presión,Vacuómetro,27.9,77.1,1010.7,0.11,0.12,349.0,Cumple
EQ-1231-0153,2026-06-30,Manta,Manufactura,Masa,Balanza industrial,27.8,78.0,1008.4,0.026,0.115,486.0,No Cumple
EQ-2738-0154,2026-04-06,Guayaquil,Alimentos,Temperatura,Termocupla,25.8,75.0,1011.6,0.07,0.32,502.0,Cumple
EQ-7379-0155,2026-03-26,Manta,Alimentos,Masa,Balanza analítica,25.6,79.1,1012.0,0.026,0.053,323.0,Cumple
EQ-2203-0156,2025-11-05,Manta,Petrolero,Temperatura,Termómetro digital,24.5,78.0,1011.0,0.06,0.41,810.0,Cumple
EQ-1841-0157,2026-02-03,Quito,Alimentos,Temperatura,Termocupla,17.4,54.0,738.8,0.06,0.20,360.0,Cumple
EQ-6685-0158,2025-08-25,Guayaquil,Farmacéutico,Presión,Vacuómetro,26.7,75.8,1009.5,0.14,0.12,350.0,Cumple
EQ-6790-0159,2025-12-27,Quito,Alimentos,Temperatura,Estufa de incubación,16.7,52.5,739.1,0.06,0.26,413.0,Cumple
EQ-1422-0160,2025-09-25,Quito,Alimentos,Presión,Manómetro analógico,17.4,56.3,734.1,0.13,0.32,436.0,No Cumple
EQ-1419-0161,2025-07-06,Guayaquil,Alimentos,Temperatura,Estufa de incubación,27.7,74.1,1008.0,0.05,0.23,354.0,Cumple
EQ-9362-0162,2025-09-11,Quito,Farmacéutico,Presión,Manómetro analógico,14.6,55.4,741.4,0.10,1.01,694.0,No Cumple
EQ-8799-0163,2026-05-05,Manta,Petrolero,Volumen,Pipeta de pistón,26.9,74.7,1011.0,0.008,0.011,354.0,Cumple
EQ-6370-0164,2026-05-07,Cuenca,Manufactura,Masa,Balanza de precisión,14.7,59.8,749.5,0.032,0.052,338.0,No Cumple
EQ-5975-0165,2025-12-05,Cuenca,Manufactura,Presión,Manómetro analógico,16.7,52.5,752.8,0.14,0.32,315.0,Cumple
EQ-8375-0166,2025-11-10,Quito,Alimentos,Masa,Balanza analítica,15.9,49.0,733.1,0.019,0.013,278.0,Cumple
EQ-6341-0167,2026-02-08,Manta,Alimentos,Temperatura,Estufa de incubación,24.8,80.0,1010.2,0.05,1.20,340.0,No Cumple
EQ-2988-0168,2025-08-22,Quito,Manufactura,Presión,Vacuómetro,18.8,52.0,739.3,0.11,0.24,323.0,Cumple
EQ-9152-0169,2026-06-21,Quito,Manufactura,Presión,Transmisor de presión,16.1,66.4,737.5,0.09,0.80,815.0,No Cumple
EQ-8644-0170,2025-10-24,Guayaquil,Farmacéutico,Presión,Vacuómetro,26.0,85.0,1012.3,0.12,0.26,811.0,Cumple
EQ-3797-0171,2026-01-03,Guayaquil,Alimentos,Volumen,Matraz aforado,24.2,76.8,1009.3,0.009,0.024,601.0,Cumple
EQ-3521-0172,2025-08-08,Quito,Alimentos,Masa,Balanza industrial,14.6,59.8,735.8,0.030,0.010,328.0,No Cumple
EQ-9513-0173,2026-01-27,Manta,Petrolero,Presión,Manómetro analógico,23.6,76.2,1010.1,0.10,0.31,805.0,Cumple
EQ-4391-0174,2026-05-21,Guayaquil,Manufactura,Masa,Balanza industrial,27.1,79.1,1013.8,0.021,0.050,506.0,No Cumple
EQ-8104-0175,2025-08-12,Manta,Manufactura,Temperatura,Termocupla,,,,0.06,0.28,,Cumple
EQ-6511-0176,2026-04-22,Manta,Alimentos,Masa,Balanza industrial,27.4,77.9,1011.5,0.024,0.038,364.0,Cumple
EQ-8517-0177,2026-05-13,Quito,Manufactura,Masa,Balanza de precisión,16.4,45.1,732.6,0.027,0.156,665.0,No Cumple
EQ-4822-0178,2025-11-13,Cuenca,Manufactura,Volumen,Matraz aforado,14.6,53.6,745.5,0.009,0.015,390.0,Cumple
EQ-2138-0179,2025-12-11,Quito,Alimentos,Temperatura,Termocupla,15.4,46.8,734.6,0.07,0.25,362.0,Cumple
EQ-9967-0180,2026-02-04,Guayaquil,Manufactura,Masa,Balanza industrial,23.3,79.0,1010.6,0.025,0.192,1062.0,No Cumple
EQ-7539-0181,2026-05-11,Guayaquil,Petrolero,Presión,Manómetro analógico,24.7,76.9,1011.0,0.06,0.13,352.0,Cumple
EQ-1559-0182,2026-04-23,Cuenca,Manufactura,Presión,Transmisor de presión,15.2,59.0,749.5,0.08,0.95,746.0,No Cumple
EQ-4202-0183,2025-12-07,Manta,Petrolero,Volumen,Pipeta de pistón,24.0,70.6,1012.1,0.008,0.011,316.0,Cumple
EQ-3840-0184,2025-10-28,Guayaquil,Alimentos,Temperatura,Termocupla,25.6,68.8,1011.4,0.06,0.21,301.0,Cumple
EQ-1741-0185,2026-05-06,Quito,Alimentos,Presión,Vacuómetro,15.9,59.2,739.5,0.13,0.30,301.0,No Cumple
EQ-9925-0186,2026-03-26,Quito,Petrolero,Volumen,Bureta digital,20.2,52.1,737.3,0.009,0.019,567.0,Cumple
EQ-1789-0187,2025-10-01,Guayaquil,Manufactura,Presión,Transmisor de presión,28.0,70.7,1008.0,0.10,0.17,539.0,Cumple
EQ-8402-0188,2026-03-28,Guayaquil,Manufactura,Volumen,Pipeta de pistón,22.3,78.3,1010.6,0.008,0.011,311.0,Cumple
EQ-4088-0189,2026-01-31,Cuenca,Alimentos,Volumen,Matraz aforado,16.5,58.1,753.5,0.009,0.052,363.0,No Cumple
EQ-8927-0190,2025-11-07,Guayaquil,Farmacéutico,Volumen,Matraz aforado,27.7,86.6,1007.4,0.008,0.014,368.0,Cumple
EQ-1335-0191,2025-07-18,Guayaquil,Alimentos,Presión,Manómetro analógico,28.4,76.5,1012.7,0.13,0.19,533.0,Cumple
EQ-3115-0192,2026-04-11,Quito,Petrolero,Presión,Vacuómetro,17.4,51.7,731.8,0.12,0.52,630.0,No Cumple
EQ-9682-0193,2026-05-09,Quito,Petrolero,Masa,Balanza de precisión,18.8,57.4,738.4,0.024,0.027,363.0,No Cumple
